Date,Open,High,Low,Close
03/04/2022,4342.12,4342.12,4284.98,4328.87
03/03/2022,4401.31,4416.78,4345.56,4363.49
03/02/2022,4322.56,4401.48,4322.56,4386.54
03/01/2022,4363.14,4378.45,4279.54,4306.26
02/28/2022,4354.17,4388.84,4315.12,4373.94
02/25/2022,4298.38,4385.34,4286.83,4384.65
02/24/2022,4155.77,4294.73,4114.65,4288.70
02/23/2022,4324.93,4341.51,4221.51,4225.50
02/22/2022,4332.74,4362.12,4267.11,4304.76
02/18/2022,4384.57,4394.60,4327.22,4348.87
02/17/2022,4456.06,4456.06,4373.81,4380.26
02/16/2022,4455.75,4489.55,4429.68,4475.01
02/15/2022,4429.28,4472.77,4429.28,4471.07
02/14/2022,4412.61,4426.22,4364.84,4401.67
02/11/2022,4506.27,4526.33,4401.41,4418.64
02/10/2022,4553.24,4588.92,4484.31,4504.08
02/09/2022,4547.00,4590.03,4547.00,4587.18
02/08/2022,4480.02,4531.32,4465.40,4521.54
02/07/2022,4505.75,4521.86,4471.47,4483.87
02/04/2022,4482.79,4539.66,4451.50,4500.53
02/03/2022,4535.41,4542.88,4470.39,4477.44
02/02/2022,4566.39,4595.31,4544.32,4589.38
02/01/2022,4519.57,4550.49,4483.53,4546.54
01/31/2022,4431.79,4516.89,4414.02,4515.55
01/28/2022,4336.19,4432.72,4292.46,4431.85
01/27/2022,4380.58,4428.74,4309.50,4326.51
01/26/2022,4408.43,4453.23,4304.80,4349.93
01/25/2022,4366.64,4411.01,4287.11,4356.45
01/24/2022,4356.32,4417.35,4222.62,4410.13
01/21/2022,4471.38,4494.52,4395.34,4397.94
01/20/2022,4547.35,4602.11,4477.95,4482.73
01/19/2022,4588.03,4611.55,4530.20,4532.76
01/18/2022,4632.24,4632.24,4568.70,4577.11
01/14/2022,4637.99,4665.13,4614.75,4662.85
01/13/2022,4733.56,4744.13,4650.29,4659.03
01/12/2022,4728.59,4748.83,4706.71,4726.35
01/11/2022,4669.14,4714.13,4638.27,4713.07
